drugId	targetId
-gh3nPoSrbC	OaP-68yrJE9
-gh3nPoSrbC	8F91cWCSDQ4
-gh3nPoSrbC	zv_C0_pvfv-
-gh3nPoSrbC	b6v-QjYJyY8
izv_8xI_QND	HMIMz3l1YZ8
izv_8xI_QND	OTE442Gh9AF
izv_8xI_QND	75PilyJBprB
izv_8xI_QND	mNYEHGGEuID
izv_8xI_QND	zv_C0_pvfv-
izv_8xI_QND	b6v-QjYJyY8
izv_8xI_QND	Tve_8buIVA7
nV4kTj29ImA	spR5Yp_B389
nV4kTj29ImA	lAzaYnKpIs7
nV4kTj29ImA	WMknI2V1z-_
nV4kTj29ImA	Pxh9OmkIPc5
nV4kTj29ImA	RwbCvJs_I-A
nV4kTj29ImA	3c4BcBzD18D
nV4kTj29ImA	zv_C0_pvfv-
nV4kTj29ImA	qzHdXXijeEH
nV4kTj29ImA	b6v-QjYJyY8
nV4kTj29ImA	LOaigUReTj9
GXJ5SAwHds4	spR5Yp_B389
GXJ5SAwHds4	lAzaYnKpIs7
GXJ5SAwHds4	WMknI2V1z-_
GXJ5SAwHds4	Pxh9OmkIPc5
GXJ5SAwHds4	RwbCvJs_I-A
GXJ5SAwHds4	3c4BcBzD18D
GXJ5SAwHds4	zv_C0_pvfv-
GXJ5SAwHds4	qzHdXXijeEH
GXJ5SAwHds4	b6v-QjYJyY8
GXJ5SAwHds4	LOaigUReTj9
QsO_2_5W3x4	HMIMz3l1YZ8
QsO_2_5W3x4	OTE442Gh9AF
QsO_2_5W3x4	W0t5rHiVOTD
QsO_2_5W3x4	W73ecoJ97a4
QsO_2_5W3x4	oqgRt1WNV_E
QsO_2_5W3x4	OaP-68yrJE9
QsO_2_5W3x4	8F91cWCSDQ4
QsO_2_5W3x4	zv_C0_pvfv-
QsO_2_5W3x4	b6v-QjYJyY8
E-jNLaXdIT-	HMIMz3l1YZ8
E-jNLaXdIT-	OTE442Gh9AF
E-jNLaXdIT-	cRp9x-RNlv4
E-jNLaXdIT-	hMjFn1lDRPF
E-jNLaXdIT-	2Gd3nxQ1EF7
E-jNLaXdIT-	zv_C0_pvfv-
E-jNLaXdIT-	b6v-QjYJyY8
E-jNLaXdIT-	7XY4b1wYQI6
alVXBGQMI_A	HMIMz3l1YZ8
alVXBGQMI_A	OTE442Gh9AF
alVXBGQMI_A	W0t5rHiVOTD
alVXBGQMI_A	W73ecoJ97a4
alVXBGQMI_A	oqgRt1WNV_E
alVXBGQMI_A	OaP-68yrJE9
alVXBGQMI_A	8F91cWCSDQ4
alVXBGQMI_A	zv_C0_pvfv-
alVXBGQMI_A	b6v-QjYJyY8
3iyomSxEzT5	l5GnzRoHcg4
3iyomSxEzT5	iznsaL-voQ_
3iyomSxEzT5	oWxxabsjtFF
3iyomSxEzT5	Vyrk96HYG26
3iyomSxEzT5	b6v-QjYJyY8
3iyomSxEzT5	LOaigUReTj9
Hdm1JPSJfjG	spR5Yp_B389
Hdm1JPSJfjG	lAzaYnKpIs7
Hdm1JPSJfjG	WMknI2V1z-_
Hdm1JPSJfjG	Pxh9OmkIPc5
Hdm1JPSJfjG	RwbCvJs_I-A
Hdm1JPSJfjG	3c4BcBzD18D
Hdm1JPSJfjG	zv_C0_pvfv-
Hdm1JPSJfjG	qzHdXXijeEH
Hdm1JPSJfjG	b6v-QjYJyY8
Hdm1JPSJfjG	LOaigUReTj9
PD20ZxcK-w7	HMIMz3l1YZ8
PD20ZxcK-w7	78YglKTHU2D
PD20ZxcK-w7	awmZz65nqM7
PD20ZxcK-w7	zv_C0_pvfv-
PD20ZxcK-w7	b6v-QjYJyY8
PD20ZxcK-w7	hdNh-24EMOH
PD20ZxcK-w7	A18R19mejv9
Q4bFUVljt3B	HMIMz3l1YZ8
Q4bFUVljt3B	OTE442Gh9AF
Q4bFUVljt3B	cGpYtT_-BX4
Q4bFUVljt3B	WIKswV2HgL6
Q4bFUVljt3B	I8erBAXcnmB
Q4bFUVljt3B	gZkhLag-kq4
Q4bFUVljt3B	p9muWuJMoX4
Q4bFUVljt3B	-ucvKv_6u5D
Q4bFUVljt3B	ml3GE3xUM8D
Q4bFUVljt3B	r4c1kU8JgAG
Q4bFUVljt3B	bLSYZdzTG66
Q4bFUVljt3B	dduKFb0LSt4
Q4bFUVljt3B	zv_C0_pvfv-
Q4bFUVljt3B	wTLZM5eaMWH
Q4bFUVljt3B	wm0OEo6PEvB
Q4bFUVljt3B	1Ja1Uz0IcjD
Q4bFUVljt3B	REmVpuZNJTA
Q4bFUVljt3B	b6v-QjYJyY8
Q4bFUVljt3B	-Z5R8XsJPUG
Q4bFUVljt3B	OySS1TZQmaH
Q4bFUVljt3B	iZ_4DuAN70D
Q4bFUVljt3B	56-7suvkfe4
Q4bFUVljt3B	I9WYexGEXV-
Q4bFUVljt3B	IyLNLpErY5F
Q4bFUVljt3B	aPvVFWQ5f4B
Q4bFUVljt3B	NriXzR952y6
Q4bFUVljt3B	awmZz65nqM7
Q4bFUVljt3B	d4HK8asB24A
Q4bFUVljt3B	-VW30v7sLkC
gDPK4ASXR37	HMIMz3l1YZ8
gDPK4ASXR37	OTE442Gh9AF
gDPK4ASXR37	A5JwybYLuZ6
gDPK4ASXR37	KdoqNDCb48_
gDPK4ASXR37	yju15KGwH5A
gDPK4ASXR37	WQHbmvD92b7
gDPK4ASXR37	k2JVqjBTsI4
gDPK4ASXR37	IvV4vbc8qk4
gDPK4ASXR37	gY1jbohiTm7
gDPK4ASXR37	zv_C0_pvfv-
gDPK4ASXR37	b6v-QjYJyY8
SfstrMwKjn9	spR5Yp_B389
SfstrMwKjn9	lAzaYnKpIs7
SfstrMwKjn9	WMknI2V1z-_
SfstrMwKjn9	Pxh9OmkIPc5
SfstrMwKjn9	RwbCvJs_I-A
SfstrMwKjn9	3c4BcBzD18D
SfstrMwKjn9	zv_C0_pvfv-
SfstrMwKjn9	qzHdXXijeEH
SfstrMwKjn9	b6v-QjYJyY8
SfstrMwKjn9	LOaigUReTj9
qY7Ury6Z9fD	l5GnzRoHcg4
qY7Ury6Z9fD	iznsaL-voQ_
qY7Ury6Z9fD	oWxxabsjtFF
qY7Ury6Z9fD	Vyrk96HYG26
qY7Ury6Z9fD	b6v-QjYJyY8
qY7Ury6Z9fD	LOaigUReTj9
2_NH5JKjg88	HMIMz3l1YZ8
2_NH5JKjg88	OTE442Gh9AF
2_NH5JKjg88	HJ5wt4-gvU9
2_NH5JKjg88	WIKswV2HgL6
2_NH5JKjg88	wm0OEo6PEvB
2_NH5JKjg88	s1MRwJP4qQE
2_NH5JKjg88	gZkhLag-kq4
2_NH5JKjg88	p9muWuJMoX4
2_NH5JKjg88	U_S89_fl2BD
2_NH5JKjg88	b6v-QjYJyY8
2_NH5JKjg88	aPfspzV4p08
2_NH5JKjg88	56-7suvkfe4
2_NH5JKjg88	ml3GE3xUM8D
2_NH5JKjg88	NriXzR952y6
2_NH5JKjg88	d4HK8asB24A
2_NH5JKjg88	zv_C0_pvfv-
2_NH5JKjg88	_WG5LCV_N1H
2_NH5JKjg88	-VW30v7sLkC
JbBzHG2SrYE	spR5Yp_B389
JbBzHG2SrYE	lAzaYnKpIs7
JbBzHG2SrYE	WMknI2V1z-_
JbBzHG2SrYE	Pxh9OmkIPc5
JbBzHG2SrYE	RwbCvJs_I-A
JbBzHG2SrYE	3c4BcBzD18D
JbBzHG2SrYE	zv_C0_pvfv-
JbBzHG2SrYE	qzHdXXijeEH
JbBzHG2SrYE	b6v-QjYJyY8
JbBzHG2SrYE	LOaigUReTj9
sh79HWyF5_6	spR5Yp_B389
sh79HWyF5_6	lAzaYnKpIs7
sh79HWyF5_6	WMknI2V1z-_
sh79HWyF5_6	Pxh9OmkIPc5
sh79HWyF5_6	RwbCvJs_I-A
sh79HWyF5_6	3c4BcBzD18D
sh79HWyF5_6	zv_C0_pvfv-
sh79HWyF5_6	qzHdXXijeEH
sh79HWyF5_6	b6v-QjYJyY8
sh79HWyF5_6	LOaigUReTj9
qO7Qw82Im9E	xJn-iwyPaj8
qO7Qw82Im9E	Pxh9OmkIPc5
qO7Qw82Im9E	qzHdXXijeEH
qO7Qw82Im9E	b6v-QjYJyY8
qO7Qw82Im9E	LOaigUReTj9
qO7Qw82Im9E	spR5Yp_B389
qO7Qw82Im9E	lAzaYnKpIs7
qO7Qw82Im9E	WMknI2V1z-_
qO7Qw82Im9E	K6TlUEMR0q6
qO7Qw82Im9E	RwbCvJs_I-A
qO7Qw82Im9E	p0qM8LDpXgD
qO7Qw82Im9E	ORwHgsvtYg6
qO7Qw82Im9E	3c4BcBzD18D
qO7Qw82Im9E	zv_C0_pvfv-
qO7Qw82Im9E	oZabPCDD1O9
qO7Qw82Im9E	sOM7VDl-53-
G9X3has2VA8	HMIMz3l1YZ8
G9X3has2VA8	BOVtyIj-1R4
G9X3has2VA8	OTE442Gh9AF
G9X3has2VA8	sKpU2mQLDmB
G9X3has2VA8	bZX29flqaa7
G9X3has2VA8	JB4LC3IM9-6
G9X3has2VA8	kXHliVeJEe6
G9X3has2VA8	GgiIllUf-49
G9X3has2VA8	b6v-QjYJyY8
G9X3has2VA8	oT-zorZmdD9
G9X3has2VA8	CekUeo5JpL5
G9X3has2VA8	rd2LGGXwOHC
G9X3has2VA8	lt58CH68h74
G9X3has2VA8	zv_C0_pvfv-
G9X3has2VA8	d6XNv1H7izB
iIf9C2-GCV6	HMIMz3l1YZ8
iIf9C2-GCV6	OTE442Gh9AF
iIf9C2-GCV6	WIKswV2HgL6
iIf9C2-GCV6	gZkhLag-kq4
iIf9C2-GCV6	p9muWuJMoX4
iIf9C2-GCV6	JiULTqkbDy6
iIf9C2-GCV6	9zV7wTKQpRH
iIf9C2-GCV6	-ucvKv_6u5D
iIf9C2-GCV6	ml3GE3xUM8D
