drugId	indicationId
BjaKIzv-WT7	bXXuP5YRviA
BjaKIzv-WT7	Yw_Zfy54egF
BjaKIzv-WT7	LbK8CNgV5RB
BjaKIzv-WT7	BM4-NxGBK5_
BjaKIzv-WT7	NNc8WgqrLe-
BjaKIzv-WT7	92mSmqtw17B
BjaKIzv-WT7	Yxxz1_jN7EG
BjaKIzv-WT7	3VBpNl233jH
BjaKIzv-WT7	3uk_caRk1IH
Ad7H_vuniV7	vsuS-p5NeO7
Ad7H_vuniV7	0JRspB1Xih9
Ad7H_vuniV7	8C6fLxVvw8B
Ad7H_vuniV7	Da6I7_exMx-
Ad7H_vuniV7	hdVKjICWYc4
Ad7H_vuniV7	3VBpNl233jH
Ad7H_vuniV7	3uk_caRk1IH
Ad7H_vuniV7	hjAzoWYN-tD
Ad7H_vuniV7	EY_W-7w2tdC
Ad7H_vuniV7	PBcEPDBmb39
Ad7H_vuniV7	ZU1SxxeKVL7
Ad7H_vuniV7	Yw_Zfy54egF
Ad7H_vuniV7	LbK8CNgV5RB
Ad7H_vuniV7	ajOjpNQ0fqC
Ad7H_vuniV7	Yxxz1_jN7EG
Ad7H_vuniV7	Y2EzPS1_RcB
Ad7H_vuniV7	3Q3thq6r4UC
t_l0x3MbnY-	Yw_Zfy54egF
t_l0x3MbnY-	LbK8CNgV5RB
t_l0x3MbnY-	hdVKjICWYc4
t_l0x3MbnY-	Yxxz1_jN7EG
t_l0x3MbnY-	3VBpNl233jH
t_l0x3MbnY-	3uk_caRk1IH
t_l0x3MbnY-	3Q3thq6r4UC
302RNSnApvH	Yw_Zfy54egF
302RNSnApvH	LbK8CNgV5RB
302RNSnApvH	Yxxz1_jN7EG
302RNSnApvH	3VBpNl233jH
302RNSnApvH	3uk_caRk1IH
ljb71-I3mM5	vsuS-p5NeO7
ljb71-I3mM5	tDQyBBzqVmC
ljb71-I3mM5	XwbF-tGfmaH
ljb71-I3mM5	2GQ7uJji2g9
ljb71-I3mM5	8C6fLxVvw8B
ljb71-I3mM5	Da6I7_exMx-
ljb71-I3mM5	3VBpNl233jH
ljb71-I3mM5	3uk_caRk1IH
ljb71-I3mM5	ZpluWzW8Q_C
ljb71-I3mM5	EY_W-7w2tdC
ljb71-I3mM5	Yw_Zfy54egF
ljb71-I3mM5	LbK8CNgV5RB
ljb71-I3mM5	ajOjpNQ0fqC
ljb71-I3mM5	Yxxz1_jN7EG
ljb71-I3mM5	vOTGpfmzrBA
6_ihOpvp66E	Yw_Zfy54egF
6_ihOpvp66E	LbK8CNgV5RB
6_ihOpvp66E	Yxxz1_jN7EG
6_ihOpvp66E	3VBpNl233jH
6_ihOpvp66E	3uk_caRk1IH
HLabMq5V-nF	Yw_Zfy54egF
HLabMq5V-nF	LbK8CNgV5RB
HLabMq5V-nF	Yxxz1_jN7EG
HLabMq5V-nF	3VBpNl233jH
HLabMq5V-nF	3uk_caRk1IH
oTkpotpr5C5	5J0_ExZjvS5
oTkpotpr5C5	3QzeWVjYn3G
oTkpotpr5C5	bXXuP5YRviA
oTkpotpr5C5	Yw_Zfy54egF
oTkpotpr5C5	LbK8CNgV5RB
oTkpotpr5C5	BM4-NxGBK5_
oTkpotpr5C5	NNc8WgqrLe-
oTkpotpr5C5	92mSmqtw17B
oTkpotpr5C5	Yxxz1_jN7EG
oTkpotpr5C5	3VBpNl233jH
oTkpotpr5C5	3uk_caRk1IH
DjlwJPFPwq9	5J0_ExZjvS5
DjlwJPFPwq9	3QzeWVjYn3G
DjlwJPFPwq9	bXXuP5YRviA
DjlwJPFPwq9	Yw_Zfy54egF
DjlwJPFPwq9	LbK8CNgV5RB
DjlwJPFPwq9	BM4-NxGBK5_
DjlwJPFPwq9	NNc8WgqrLe-
DjlwJPFPwq9	92mSmqtw17B
DjlwJPFPwq9	Yxxz1_jN7EG
DjlwJPFPwq9	3VBpNl233jH
DjlwJPFPwq9	3uk_caRk1IH
9N2IyCqkJ6G	TyQNt4D8gqH
9N2IyCqkJ6G	0GnJg9FxgHH
9N2IyCqkJ6G	A-hTfyb1tY9
9N2IyCqkJ6G	pRfzADQRnpF
9N2IyCqkJ6G	hdVKjICWYc4
9N2IyCqkJ6G	W85usIDssH6
9N2IyCqkJ6G	92mSmqtw17B
9N2IyCqkJ6G	3uk_caRk1IH
9N2IyCqkJ6G	ssjFqHZiJ24
9N2IyCqkJ6G	Q9T56ga3ZWE
9N2IyCqkJ6G	EjqJ6iWtQV9
9N2IyCqkJ6G	pUjzCiBr8P-
9N2IyCqkJ6G	qUWEXFmXtE8
9N2IyCqkJ6G	bXXuP5YRviA
9N2IyCqkJ6G	Yw_Zfy54egF
9N2IyCqkJ6G	LbK8CNgV5RB
9N2IyCqkJ6G	BM4-NxGBK5_
9N2IyCqkJ6G	NNc8WgqrLe-
9N2IyCqkJ6G	VwrUEyXGD0A
9N2IyCqkJ6G	VVNQyoL-PL9
9N2IyCqkJ6G	3Q3thq6r4UC
9N2IyCqkJ6G	Ca5plSPebiD
9N2IyCqkJ6G	5J0_ExZjvS5
9N2IyCqkJ6G	QLSNGGX4RL7
9N2IyCqkJ6G	IIv9a53K52B
9N2IyCqkJ6G	DBpp36AAGQF
9N2IyCqkJ6G	8C6fLxVvw8B
9N2IyCqkJ6G	LXhKoKHYLq5
9N2IyCqkJ6G	3VBpNl233jH
9N2IyCqkJ6G	_zrjxQpkWF6
9N2IyCqkJ6G	3QzeWVjYn3G
9N2IyCqkJ6G	bZMYnz3-Dj5
9N2IyCqkJ6G	zG199INJYl5
9N2IyCqkJ6G	ajOjpNQ0fqC
9N2IyCqkJ6G	dM7TfmwCD6B
9N2IyCqkJ6G	Yxxz1_jN7EG
9N2IyCqkJ6G	C5SGnnfNH7F
DgeVMhxEtP_	5J0_ExZjvS5
DgeVMhxEtP_	3QzeWVjYn3G
DgeVMhxEtP_	bXXuP5YRviA
DgeVMhxEtP_	Yw_Zfy54egF
DgeVMhxEtP_	LbK8CNgV5RB
DgeVMhxEtP_	BM4-NxGBK5_
DgeVMhxEtP_	NNc8WgqrLe-
DgeVMhxEtP_	92mSmqtw17B
DgeVMhxEtP_	Yxxz1_jN7EG
DgeVMhxEtP_	3VBpNl233jH
DgeVMhxEtP_	3uk_caRk1IH
ASCkku0UQ_G	eOcFiPF8J2B
ASCkku0UQ_G	XW-DO97mTT8
ASCkku0UQ_G	Rb7D2-Pob2_
ASCkku0UQ_G	LbK8CNgV5RB
ASCkku0UQ_G	3nUpVoedx_H
ASCkku0UQ_G	4ZKj49iOjdH
ASCkku0UQ_G	xTFeMBbptd7
ASCkku0UQ_G	x8xZnmZJTa9
ASCkku0UQ_G	gFxhiGaK2o-
ASCkku0UQ_G	06O3aqTRAoG
h3AKX0eBJh4	QrCen8DudlF
h3AKX0eBJh4	oCw57pD3xv6
h3AKX0eBJh4	xo5kthgohR-
h3AKX0eBJh4	lDIqem8Tyn6
h3AKX0eBJh4	pdtXD7jfnG5
h3AKX0eBJh4	B1p854P5wx4
h3AKX0eBJh4	vmVWGZlIYr_
h3AKX0eBJh4	4mksEtSqhwG
h3AKX0eBJh4	BshFghg7Qs_
h3AKX0eBJh4	RKFR53DdoN7
h3AKX0eBJh4	gXvi_MRLK-C
h3AKX0eBJh4	pVxu8ZoFuFC
h3AKX0eBJh4	rB39ZzKoem6
h3AKX0eBJh4	zXTHoBhah78
h3AKX0eBJh4	d46b30gqfZ5
h3AKX0eBJh4	VwrUEyXGD0A
h3AKX0eBJh4	1v41LdEJmG-
h3AKX0eBJh4	S4Jq-QZkvi9
h3AKX0eBJh4	WmpdRtEkSUC
