drugId	targetId
k9XNq8_nsI8	ml3GE3xUM8D
k9XNq8_nsI8	r4c1kU8JgAG
k9XNq8_nsI8	bLSYZdzTG66
k9XNq8_nsI8	dduKFb0LSt4
k9XNq8_nsI8	zv_C0_pvfv-
k9XNq8_nsI8	wTLZM5eaMWH
k9XNq8_nsI8	wm0OEo6PEvB
k9XNq8_nsI8	1Ja1Uz0IcjD
k9XNq8_nsI8	REmVpuZNJTA
k9XNq8_nsI8	b6v-QjYJyY8
k9XNq8_nsI8	-Z5R8XsJPUG
k9XNq8_nsI8	7opD5Fm831B
k9XNq8_nsI8	56-7suvkfe4
k9XNq8_nsI8	I9WYexGEXV-
k9XNq8_nsI8	IyLNLpErY5F
k9XNq8_nsI8	NriXzR952y6
k9XNq8_nsI8	d4HK8asB24A
k9XNq8_nsI8	-VW30v7sLkC
av67BXVd55A	HMIMz3l1YZ8
av67BXVd55A	OTE442Gh9AF
av67BXVd55A	cRp9x-RNlv4
av67BXVd55A	hMjFn1lDRPF
av67BXVd55A	2Gd3nxQ1EF7
av67BXVd55A	zv_C0_pvfv-
av67BXVd55A	b6v-QjYJyY8
av67BXVd55A	7XY4b1wYQI6
50YhwRPbUAG	l5GnzRoHcg4
50YhwRPbUAG	yYSrVknZJg6
50YhwRPbUAG	iznsaL-voQ_
50YhwRPbUAG	oWxxabsjtFF
50YhwRPbUAG	Vyrk96HYG26
50YhwRPbUAG	b6v-QjYJyY8
50YhwRPbUAG	LOaigUReTj9
6rQV0pcr0sG	cqvNGvG8RI9
6rQV0pcr0sG	HMIMz3l1YZ8
6rQV0pcr0sG	OTE442Gh9AF
6rQV0pcr0sG	hMjFn1lDRPF
6rQV0pcr0sG	2fRwapXZwq_
6rQV0pcr0sG	ZE7xADhwla-
6rQV0pcr0sG	zf0uZu6PkK_
6rQV0pcr0sG	zv_C0_pvfv-
6rQV0pcr0sG	b6v-QjYJyY8
6rQV0pcr0sG	7XY4b1wYQI6
ohoORL8In_B	HMIMz3l1YZ8
ohoORL8In_B	dcgws5Sc1f4
ohoORL8In_B	VYhs4CcO9q6
ohoORL8In_B	e47WD6WA6W_
ohoORL8In_B	6NRJyqaT9AE
ohoORL8In_B	5GwZsO16huB
ohoORL8In_B	zv_C0_pvfv-
ohoORL8In_B	b6v-QjYJyY8
ohoORL8In_B	CbYJdTnXSo_
G19gl-W6BG6	HMIMz3l1YZ8
G19gl-W6BG6	dcgws5Sc1f4
G19gl-W6BG6	VYhs4CcO9q6
G19gl-W6BG6	e47WD6WA6W_
G19gl-W6BG6	6NRJyqaT9AE
G19gl-W6BG6	5GwZsO16huB
